example_id                                                             | status | run_time        |
./spec/controllers/sign_up_sheets_controller_spec.rb[1:5:1:1:1:2]      | passed | 0.01985 seconds |
./spec/controllers/sign_up_sheets_controller_spec.rb[1:5:1:1:2:1]      | passed | 0.01826 seconds |
./spec/controllers/sign_up_sheets_controller_spec.rb[1:5:1:2:1]        | passed | 0.01836 seconds |
./spec/controllers/sign_up_sheets_controller_spec.rb[1:5:2:1]          | passed | 0.00216 seconds |
./spec/controllers/sign_up_sheets_controller_spec.rb[1:6:1:1:1:1]      | passed | 0.02229 seconds |
./spec/controllers/sign_up_sheets_controller_spec.rb[1:6:1:1:1:2]      | passed | 0.03799 seconds |
./spec/controllers/sign_up_sheets_controller_spec.rb[1:6:1:1:1:3]      | passed | 0.02251 seconds |
./spec/controllers/sign_up_sheets_controller_spec.rb[1:6:1:1:2:1]      | passed | 0.02212 seconds |
./spec/controllers/sign_up_sheets_controller_spec.rb[1:6:1:2:1]        | passed | 0.02052 seconds |
./spec/controllers/sign_up_sheets_controller_spec.rb[1:6:2:1]          | passed | 0.01941 seconds |
./spec/controllers/sign_up_sheets_controller_spec.rb[1:7:1:1:1]        | passed | 0.03708 seconds |
./spec/controllers/sign_up_sheets_controller_spec.rb[1:7:1:1:2]        | passed | 0.04291 seconds |
./spec/controllers/sign_up_sheets_controller_spec.rb[1:7:1:2:1]        | passed | 0.02614 seconds |
./spec/controllers/sign_up_sheets_controller_spec.rb[1:7:2:1]          | passed | 0.00211 seconds |
./spec/controllers/submissions_controller_spec.rb[1:1:1:1]             | passed | 0.04751 seconds |
./spec/controllers/submissions_controller_spec.rb[1:1:2:1]             | passed | 0.00363 seconds |
./spec/controllers/submissions_controller_spec.rb[1:2:1]               | passed | 0.00438 seconds |
./spec/controllers/submissions_controller_spec.rb[1:3:1:1:1]           | passed | 0.03933 seconds |
./spec/controllers/submissions_controller_spec.rb[1:3:1:1:2]           | passed | 0.04445 seconds |
./spec/controllers/submissions_controller_spec.rb[1:3:1:2:1]           | passed | 0.02511 seconds |
./spec/controllers/submissions_controller_spec.rb[1:3:1:2:2]           | passed | 0.02702 seconds |
./spec/controllers/submissions_controller_spec.rb[1:3:1:3:1]           | passed | 0.0388 seconds  |
./spec/controllers/submissions_controller_spec.rb[1:3:1:4:1]           | passed | 0.02384 seconds |
./spec/controllers/submissions_controller_spec.rb[1:3:2:1]             | passed | 0.03317 seconds |
./spec/controllers/submissions_controller_spec.rb[1:4:1:1:1:1]         | passed | 0.02121 seconds |
./spec/controllers/submissions_controller_spec.rb[1:4:1:1:1:2]         | passed | 0.02451 seconds |
./spec/controllers/submissions_controller_spec.rb[1:4:1:1:2:1]         | passed | 0.02458 seconds |
./spec/controllers/submissions_controller_spec.rb[1:4:1:1:3:1]         | passed | 0.01875 seconds |
./spec/controllers/submissions_controller_spec.rb[1:4:1:2:1]           | passed | 0.0034 seconds  |
./spec/controllers/submissions_controller_spec.rb[1:4:2:1]             | passed | 0.02292 seconds |
./spec/controllers/submissions_controller_spec.rb[1:5:1:1:1]           | passed | 0.04181 seconds |
./spec/controllers/submissions_controller_spec.rb[1:5:1:1:2]           | passed | 0.03951 seconds |
./spec/controllers/submissions_controller_spec.rb[1:5:1:2:1:1]         | passed | 0.02204 seconds |
./spec/controllers/submissions_controller_spec.rb[1:5:1:2:1:2]         | passed | 0.03177 seconds |
./spec/controllers/submissions_controller_spec.rb[1:5:1:2:2:1]         | passed | 0.03848 seconds |
./spec/controllers/submissions_controller_spec.rb[1:5:2:1]             | passed | 0.02635 seconds |
./spec/controllers/team_members_controller_spec.rb[1:1:1]              | passed | 0.04702 seconds |
./spec/controllers/team_members_controller_spec.rb[1:2:1]              | passed | 0.02568 seconds |
./spec/controllers/team_members_controller_spec.rb[1:3:1:1]            | passed | 0.03696 seconds |
./spec/controllers/team_members_controller_spec.rb[1:3:1:2]            | passed | 0.02821 seconds |
./spec/controllers/team_members_controller_spec.rb[1:3:2:1]            | passed | 0.03734 seconds |
./spec/controllers/team_members_controller_spec.rb[1:4:1:1:1:1]        | passed | 0.0429 seconds  |
./spec/controllers/team_members_controller_spec.rb[1:4:1:1:1:2]        | passed | 0.04512 seconds |
./spec/controllers/team_members_controller_spec.rb[1:4:1:1:2:1]        | passed | 0.04177 seconds |
./spec/controllers/team_members_controller_spec.rb[1:4:1:1:3:1]        | passed | 0.04643 seconds |
./spec/controllers/team_members_controller_spec.rb[1:4:1:2:1]          | passed | 0.02236 seconds |
./spec/controllers/team_members_controller_spec.rb[1:4:2:1]            | passed | 0.02503 seconds |
./spec/controllers/team_members_controller_spec.rb[1:5:1:1:1:1]        | passed | 0.04624 seconds |
./spec/controllers/team_members_controller_spec.rb[1:5:1:1:1:2]        | passed | 0.05411 seconds |
./spec/controllers/team_members_controller_spec.rb[1:5:1:1:2:1]        | passed | 0.03044 seconds |
./spec/controllers/team_members_controller_spec.rb[1:5:1:1:3:1]        | passed | 0.0469 seconds  |
./spec/controllers/team_members_controller_spec.rb[1:5:1:1:3:2]        | passed | 0.06393 seconds |
./spec/controllers/team_members_controller_spec.rb[1:5:1:2:1]          | passed | 0.04851 seconds |
./spec/controllers/team_members_controller_spec.rb[1:5:2:1]            | passed | 0.0441 seconds  |
./spec/controllers/team_members_controller_spec.rb[1:6:1:1:1]          | passed | 0.04046 seconds |
./spec/controllers/team_members_controller_spec.rb[1:6:1:1:2]          | passed | 0.04104 seconds |
./spec/controllers/team_members_controller_spec.rb[1:6:1:2:1:1]        | passed | 0.04438 seconds |
./spec/controllers/team_members_controller_spec.rb[1:6:1:2:1:2]        | passed | 0.02649 seconds |
./spec/controllers/team_members_controller_spec.rb[1:6:1:2:2:1]        | passed | 0.03935 seconds |
./spec/controllers/team_members_controller_spec.rb[1:6:2:1]            | passed | 0.04481 seconds |
./spec/controllers/teams_controller_spec.rb[1:1:1]                     | passed | 0.00631 seconds |
./spec/controllers/teams_controller_spec.rb[1:2:1:1]                   | passed | 0.00625 seconds |
./spec/controllers/teams_controller_spec.rb[1:2:1:2]                   | passed | 0.00857 seconds |
./spec/controllers/teams_controller_spec.rb[1:2:2:1]                   | passed | 0.00566 seconds |
./spec/controllers/teams_controller_spec.rb[1:3:1]                     | passed | 0.00523 seconds |
./spec/controllers/teams_controller_spec.rb[1:4:1:1]                   | passed | 0.0045 seconds  |
./spec/controllers/teams_controller_spec.rb[1:4:1:2]                   | passed | 0.00672 seconds |
./spec/controllers/teams_controller_spec.rb[1:4:2:1]                   | passed | 0.0045 seconds  |
./spec/controllers/teams_controller_spec.rb[1:5:1:1:1:1]               | passed | 0.02465 seconds |
./spec/controllers/teams_controller_spec.rb[1:5:1:1:1:2]               | passed | 0.05613 seconds |
./spec/controllers/teams_controller_spec.rb[1:5:1:1:2:1]               | passed | 0.03216 seconds |
./spec/controllers/teams_controller_spec.rb[1:5:1:2:1]                 | passed | 0.02095 seconds |
./spec/controllers/teams_controller_spec.rb[1:5:2:1]                   | passed | 0.00325 seconds |
./spec/controllers/teams_controller_spec.rb[1:6:1:1:1:1]               | passed | 0.02412 seconds |
./spec/controllers/teams_controller_spec.rb[1:6:1:1:1:2]               | passed | 0.02811 seconds |
./spec/controllers/teams_controller_spec.rb[1:6:1:1:2:1]               | passed | 0.02362 seconds |
./spec/controllers/teams_controller_spec.rb[1:6:1:2:1:1]               | passed | 0.02804 seconds |
./spec/controllers/teams_controller_spec.rb[1:6:1:2:2:1]               | passed | 0.02278 seconds |
./spec/controllers/teams_controller_spec.rb[1:6:2:1]                   | passed | 0.03272 seconds |
./spec/controllers/teams_controller_spec.rb[1:7:1:1:1]                 | passed | 0.03063 seconds |
./spec/controllers/teams_controller_spec.rb[1:7:1:1:2]                 | passed | 0.02237 seconds |
./spec/controllers/teams_controller_spec.rb[1:7:1:2:1]                 | passed | 0.02204 seconds |
./spec/controllers/teams_controller_spec.rb[1:7:2:1]                   | passed | 0.0041 seconds  |
./spec/controllers/users_controller_spec.rb[1:1:1]                     | passed | 0.02028 seconds |
./spec/controllers/users_controller_spec.rb[1:2:1]                     | passed | 0.00593 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:1]                   | passed | 0.02368 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:2]                   | passed | 0.02073 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:3]                   | passed | 0.1893 seconds  |
